"ID","TITLE","YEAR","GENRE"
"tt0146592","Pál Adrienn","2010","Drama"
"tt0154039","So Much for Justice!","2010","History"
"tt0162942","Children of the Green Dragon","2010","Drama"
"tt0230212","The Final Journey","2010","Drama"
"tt0312305","Quantum Quest: A Cassini Space Odyssey","2010","Adventure"
"tt0326965","In My Sleep","2010","Drama"
"tt0331312","This Wretched Life","2010","Comedy"
"tt0337882","Blind Sided","2010","Comedy"
"tt0378546","The Payback Man","2010","Crime"
"tt0393049","Anderson's Cross","2010","Comedy"
"tt0396123","Den milde smerte","2010","Drama"
"tt0398286","Tangled","2010","Adventure"
"tt0402887","Capture the Flag","2010","Drama"
"tt0403645","Burnt by the Sun 2","2010","Drama"
"tt0411951","Tekken","2010","Action"
"tt0417610","Asleep in the Sun","2010","Fantasy"
"tt0417750","Hempsters: Plant the Seed","2010","Documentary"
"tt0419692","Disconnect","2010","Drama"
"tt0423474","Venus & Vegas","2010","Action"
"tt0426410","Beisbol","2010","Documentary"
"tt0427152","Dinner for Schmucks","2010","Comedy"
"tt0429493","The A-Team","2010","Action"
"tt0435761","Toy Story 3","2010","Adventure"
"tt0436230","Project x27","2010","Horror"
"tt0437462","Cargo, les hommes perdus.","2010","Adventure"
"tt0439801","Segurança Nacional","2010","Action"
"tt0441779","My Nappy Roots: A Journey Through Black Hair-itage","2010","Documentary"
"tt0443331","Milenge Milenge","2010","Drama"
"tt0444531","Vidas pequeñas","2010","Drama"
"tt0445054","7 Days","2010","Crime"
"tt0446029","Scott Pilgrim vs. the World","2010","Action"
"tt0446686","Dream Street","2010","Drama"
"tt0449005","Diary of a Bad Lad","2010","Comedy"
"tt0451108","Mad World","2010","Drama"
"tt0454155","El hada buena - Una fábula peronista","2010","Comedy"
"tt0455407","The Crazies","2010","Horror"
"tt0457591","Memorias del desarrollo","2010","Drama"
"tt0460778","Drunkboat","2010","Drama"
"tt0462516","Satan Hates You","2010","Horror"
"tt0463311","Federal","2010","Drama"
"tt0464032","Guns, Drugs and Dirty Money","2010","Action"
"tt0464154","Piranha 3D","2010","Comedy"
"tt0464162","Komaram Puli","2010","Action"
"tt0465637","Taken by Force","2010","Action"
"tt0465760","Sensual","2010","Drama"
"tt0466553","Golapi Ekhon Bilatey","2010","Musical"
"tt0469094","Harlem Hostel","2010","Comedy"
"tt0473075","Prince of Persia: The Sands of Time","2010","Action"
"tt0473343","Cielito lindo","2010","Drama"
"tt0475983","The Deafening Silence of a Very Bright Light","2010","Drama"
"tt0476023","Stiffs","2010","Comedy"
"tt0477080","Unstoppable","2010","Action"
"tt0477087","Sid Bernstein Presents...","2010","Documentary"
"tt0478660","El horror de la dama del lago","2010","Fantasy"
"tt0479051","The Greater Meaning of Water","2010","Drama"
"tt0479204","Perfect Life","2010","Horror"
"tt0480255","The Losers","2010","Action"
"tt0482459","Bandage","2010","Drama"
"tt0482461","Barry Munday","2010","Comedy"
"tt0483586","Chasing 3000","2010","Family"
"tt0483839","A Woman Is a Woman","2010","Comedy"
"tt0490199","PrimeMates","2010","Comedy"
"tt0490236","The Invited","2010","Horror"
"tt0492389","Furry Vengeance","2010","Comedy"
"tt0493949","Ramona and Beezus","2010","Adventure"
"tt0494229","Good Sharma","2010","Drama"
"tt0495037","O Inimigo Sem Rosto","2010","Crime"
"tt0499608","Tranced","2010","Drama"
"tt0756727","Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?)","2010","Biography"
"tt0758752","Love & Other Drugs","2010","Comedy"
"tt0765465","The Legend of Secret Pass","2010","Animation"
"tt0765485","Waste of Space","2010","Adventure"
"tt0768187","Me and My Umbrella","2010","Family"
"tt0770778","King of the Avenue","2010","Drama"
"tt0774519","The Chosen Heaven","2010","Drama"
"tt0775461","The Rain Fairy","2010","Family"
"tt0775489","The Illusionist","2010","Animation"
"tt0775543","Night Catches Us","2010","Drama"
"tt0780653","The Wolfman","2010","Drama"
"tt0782047","Irreversi","2010","Thriller"
"tt0790663","The First Grader","2010","Biography"
"tt0798817","13","2010","Drama"
"tt0800054","The Guardians","2010","Comedy"
"tt0800092","Ironmen","2010","Biography"
"tt0800320","Clash of the Titans","2010","Action"
"tt0800353","Nemesis","2010","Drama"
"tt0804483","Folk!","2010","Documentary"
"tt0804497","It's Kind of a Funny Story","2010","Comedy"
"tt0808245","A Letter to Elia","2010","Documentary"
"tt0808510","Tooth Fairy","2010","Comedy"
"tt0810815","Cross the Line","2010","Action"
"tt0811021","Plum?feros - Aventuras voladoras","2010","Adventure"
"tt0813992","American Flyer","2010","Adventure"
"tt0814255","Percy Jackson & the Olympians: The Lightning Thief","2010","Adventure"
"tt0815101","Ashes","2010","Drama"
"tt0815236","She's Out of My League","2010","Comedy"
"tt0816362","Card Subject to Change","2010","Documentary"
"tt0817177","Flipped","2010","Comedy"
"tt0817230","Valentine's Day","2010","Comedy"
"tt0818098","Dreamkiller","2010","Thriller"
"tt0818172","Soupernatural","2010","Drama"
"tt0826532","Return to Yucca Flats: Desert Man-Beast","2010","Comedy"
"tt0826823","Magic","2010","Adventure"
"tt0831280","Waking Madison","2010","Drama"
"tt0831881","Land","2010","Documentary"
"tt0840358","Everyday Sunshine: The Story of Fishbone","2010","Documentary"
"tt0840361","The Town","2010","Crime"
"tt0840789","R?o de oro","2010","Western"
"tt0842926","The Kids Are All Right","2010","Comedy"
"tt0844866","Killer by Nature","2010","Adventure"
"tt0846004","Gangster Exchange","2010","Action"
"tt0847215","Neowolf","2010","Horror"
"tt0847735","Fun in the Army","2010","Comedy"
"tt0850709","Risen","2010","Biography"
"tt0852939","Bloud?m","2010","Drama"
"tt0853002","A Summer Song","2010","Drama"
"tt0856796","Kolorßd? Kid","2010","Drama"
"tt0858411","2001 Maniacs: Field of Screams","2010","Comedy"
"tt0858500","Wide Blue Yonder","2010","Comedy"
"tt0859612","The Golden Greek: The Harry Agganis Story","2010","Documentary"
"tt0861747","Zenitram","2010","Action"
"tt0870208","Touch Wood","2010","Comedy"
"tt0871893","Surprise, Surprise","2010","Drama"
"tt0872230","My Soul to Take","2010","Horror"
"tt0874421","Beijing Taxi","2010","Documentary"
"tt0874426","The Secret Philosophy","2010","Thriller"
"tt0875702","Bury the Hatchet","2010","Documentary"
"tt0878654","Bulletface","2010","Thriller"
"tt0878672","First Circle","2010","Documentary"
"tt0878835","Please Give","2010","Comedy"
"tt0879405","Harm's Way","2010","Thriller"
"tt0879859","Torn","2010","Thriller"
"tt0879870","Eat Pray Love","2010","Drama"
"tt0882741","AIR: The Musical","2010","Comedy"
"tt0884214","Wreckage","2010","Horror"
"tt0887161","Repo","2010","Comedy"
"tt0887751","Honor","2010","Crime"
"tt0889573","The Switch","2010","Comedy"
"tt0892318","Letters to Juliet","2010","Adventure"
"tt0892769","How to Train Your Dragon","2010","Action"
"tt0892791","Shrek Forever After","2010","Adventure"
"tt0896872","The Whistleblower","2010","Action"
"tt0899145","Don't Fade Away","2010","Drama"
"tt0901504","Psych:9","2010","Horror"
"tt0902247","Acts of Violence","2010","Crime"
